Graph,Score
large79,55823.56088149561
large80,2009.6378778446226
large81,13073.56088149561
large82,3363.6121493860305
large83,272.8281828459045
large84,24470.262246465125
large85,449.2277266951576
large86,4373.612149386031
large87,3312.6121493860305
large88,77998.3609956413
large89,3312.6121493860305
large90,739.905609893065
large91,9314.611114215351
large92,3312.670801912418
large93,2009.6378778446226
large94,24470.262246465125
large95,3312.6121493860305
large96,272.8281828459045
large97,2009.6378778446226
large98,3312.670801912418
large99,272.8281828459045
large100,449.2277266951576
large101,5460.815003314424
large102,5460.815003314424
large103,449.2277266951576
large104,771.905609893065
large105,739.905609893065
large106,449.2277266951576
large107,49804.184684113156
large108,272.8281828459045
large109,2009.6378778446226
large110,272.8281828459045
large111,5460.815003314424
large112,3331.6121493860305
large113,272.8281828459045
large114,9924.814293170424
large115,449.2277266951576
large116,272.8281828459045
large117,739.905609893065
large118,31850.56858697473
large119,26041.59711295017
large120,272.8281828459045
large121,10823.56088149561
large122,272.8281828459045
large123,3312.670801912418
large124,3312.6121493860305
large125,272.8281828459045
large126,449.2277266951576
large127,449.2277266951576
large128,449.2277266951576
large129,14842.31591025766
large130,31073.560881495607
large131,13301.259650403294
large132,29794.56858697473
large133,449.2277266951576
large134,20339.83708253425
large135,3312.6121493860305
large136,449.2277266951576
large137,1219.2493960703473
large138,3424.6626192717404
large139,449.2277266951576
large140,5460.815003314424
large141,5665.178712059349
large142,10823.56088149561
large143,449.2277266951576
large144,5460.815003314424
large145,449.2277266951576
large146,3312.6121493860305
large147,12521.433907730438
large148,16453.500885880334
large149,5009.637877844622
large150,3315.9426666402182
large151,2876.6378778446224
large152,739.905609893065
large153,272.8281828459045
large154,35842.83787181328
large155,3312.6121493860305
large156,12554.88198445573
large157,21704.127074191903
large158,6585.919064037762
large159,19529.815003314423
large160,14842.31591025766
large161,1219.2493960703473
large162,2009.6378778446226
large163,30861.66462030395
large164,3312.6121493860305
large165,3312.6121493860305
large166,22149.617911531233
large167,3440.670801912418
large168,1219.2493960703473
large169,3312.6121493860305
large170,449.2277266951576
large171,272.8281828459045
large172,739.905609893065
large173,3355.6121493860305
large174,3327.6121493860305
large175,57656.29101235996
large176,739.905609893065
large177,3312.670801912418
large178,3377.9927830827187
large179,449.2277266951576
large180,2009.6378778446226
large181,272.8281828459045
large182,3312.670801912418
large183,14842.31591025766
large184,449.2277266951576
large185,1261.051797201087
large186,1219.2493960703473
large187,3312.670801912418
large188,2009.6378778446226
large189,739.905609893065
large190,3312.6121493860305
large191,449.2277266951576
large192,34290.26224646513
large193,4445.878156034544
large194,449.2277266951576
large195,3317.3252442778617
large196,3741.1353962953162
large197,2009.6378778446226
large198,3312.670801912418
large199,1219.2493960703473
large200,740.0096706164034
large201,1219.2493960703473
large202,14842.31591025766
large203,12351.259650403294
large204,1028.1112439467543
large205,3313.6121493860305
large206,272.8281828459045
large207,1219.2493960703473
large208,449.2277266951576
large209,272.8281828459045
large210,449.2277266951576
large211,37666.83709184061
large212,1219.2493960703473
large213,10751.439136462513
large214,3312.6121493860305
large215,5460.815003314424
large216,272.8281828459045
large217,3312.712004651994
large218,272.8281828459045
large219,3824.670801912418
large220,3341.9615740509826
large221,2009.6378778446226
large222,46963.568586974725
large223,16361.543863625753
large224,34908.275376374564
large225,449.2277266951576
large226,12554.88198445573
large227,449.2277266951576
large228,3213.770512234286
large229,272.8281828459045
large230,272.8281828459045
large231,272.8281828459045
large232,1219.2493960703473
large233,3312.6121493860305
large234,3312.6121493860305
large235,449.2277266951576
large236,739.905609893065
large237,5460.815003314424
large238,449.2277266951576
large239,449.2277266951576
large240,35517.56088149561
large241,449.2277266951576
large242,4767.026728038841
large243,1219.2493960703473
large244,1219.2493960703473
large245,2801.6900202267993
large246,449.2277266951576
large247,1421.220660501415
large248,3989.670801912418
large249,272.8281828459045
large250,2513.9956029095147
large251,1758.806330645915
large252,2009.6378778446226
large253,17565.140230711062
large254,2009.6378778446226
large255,2009.6378778446226
large256,14842.31591025766
large257,5460.815003314424
large258,272.8281828459045
large259,1246.2493960703473
large260,2009.6378778446226
